source,foot_id,mesh_path,side,length,width,foot_height,arch_height,ball_girth,waist_girth,instep_girth,heel_girth,ankle_girth,long_heel_girth,short_heel_girth,n_vertices
dryad_foot,dryad_0001,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/001_fBW_L.ply,left,248.1,139.9,84.4,3.1,429.3,429.0,481.7,702.8,664.3,702.8,632.5,32558
dryad_foot,dryad_0002,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/001_mBW_L.ply,left,246.8,135.5,84.5,5.9,428.9,429.3,481.7,673.3,626.1,673.3,606.0,33383
dryad_foot,dryad_0004,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/002_mBW_R.ply,right,246.1,136.2,84.8,0.3,433.6,436.6,494.4,614.7,503.2,614.7,553.2,34792
dryad_foot,dryad_0005,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/003_fBW_R.ply,right,241.8,138.5,85.2,3.1,425.1,432.7,459.4,683.0,650.2,683.0,614.7,32041
dryad_foot,dryad_0006,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/003_mBW_R.ply,right,250.4,129.4,80.9,2.6,423.4,427.2,478.4,559.7,440.2,559.7,503.7,31818
dryad_foot,dryad_0007,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/004_fBW_R.ply,right,283.9,137.8,97.8,3.7,493.5,494.4,521.2,727.7,708.0,727.7,654.9,33403
dryad_foot,dryad_0008,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/004_mBW_R.ply,right,282.1,133.7,96.1,4.2,491.0,490.6,523.6,700.4,670.8,700.4,630.4,33004
dryad_foot,dryad_0010,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/005_mBW_R.ply,right,251.0,138.8,83.1,2.4,436.1,442.7,487.7,683.6,630.5,683.6,615.2,33885
dryad_foot,dryad_0012,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/006_mBW_R.ply,right,267.3,135.6,93.5,3.9,474.0,480.6,523.4,715.3,701.4,715.3,643.8,35443
dryad_foot,dryad_0013,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/007_fBW_R.ply,right,263.4,138.5,95.4,2.7,492.0,492.8,509.6,726.3,707.0,726.3,653.7,32402
dryad_foot,dryad_0014,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/007_mBW_R.ply,right,262.9,133.6,94.0,5.5,493.0,493.6,510.5,697.8,669.0,697.8,628.0,33407
dryad_foot,dryad_0016,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/008_mBW_R.ply,right,271.7,138.1,92.1,2.0,466.3,475.8,514.9,718.0,692.2,718.0,646.2,33344
dryad_foot,dryad_0018,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/009_mBW_R.ply,right,261.5,138.4,93.8,0.7,481.8,486.4,504.2,724.9,715.0,724.9,652.4,32490
dryad_foot,dryad_0019,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/010_fBW_R.ply,right,258.3,138.1,95.6,9.6,472.1,472.7,514.5,717.5,685.6,717.5,645.8,34115
dryad_foot,dryad_0020,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/010_mBW_R.ply,right,259.7,135.5,95.2,1.9,472.9,471.0,505.7,701.2,663.1,701.2,631.1,33794
dryad_foot,dryad_0021,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/011_fBW_R.ply,right,257.9,139.5,84.2,9.6,424.0,434.3,481.8,710.5,686.8,710.5,639.4,33064
dryad_foot,dryad_0022,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/011_mBW_R.ply,right,263.1,134.7,84.2,1.6,425.6,437.9,484.8,674.4,628.6,674.4,607.0,33058
dryad_foot,dryad_0023,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/012_fBW_R.ply,right,280.6,138.2,98.2,2.6,517.5,522.0,564.4,728.8,702.0,728.8,655.9,34853
dryad_foot,dryad_0024,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/012_mBW_R.ply,right,279.4,135.3,95.8,3.6,514.2,518.4,562.0,705.0,668.8,705.0,634.5,34772
dryad_foot,dryad_0025,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/013_fBW_R.ply,right,257.5,137.7,85.2,3.6,428.3,435.7,487.5,639.2,505.8,639.2,575.3,34376
dryad_foot,dryad_0026,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/013_mBW_R.ply,right,245.4,139.9,85.7,3.0,430.7,435.0,474.2,689.8,648.5,689.8,620.8,34100
dryad_foot,dryad_0027,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/014_fBW_R.ply,right,254.3,136.1,82.6,4.7,402.2,407.7,483.7,662.6,613.3,662.6,596.3,33028
dryad_foot,dryad_0028,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/014_mBW_R.ply,right,243.8,136.2,80.8,5.6,405.5,407.8,467.0,672.9,637.6,672.9,605.6,32703
dryad_foot,dryad_0030,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/015_mBW_R.ply,right,265.6,135.7,93.7,6.3,471.4,479.0,517.5,708.6,687.2,708.6,637.7,32951
dryad_foot,dryad_0032,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/016_mBW_R.ply,right,241.8,134.4,86.1,2.3,445.9,447.4,486.8,660.2,603.7,660.2,594.2,34221
dryad_foot,dryad_0033,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/017_fBW_R.ply,right,267.8,139.7,94.9,6.2,473.6,477.2,528.2,737.4,712.2,737.4,663.7,33694
dryad_foot,dryad_0034,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/017_mBW_R.ply,right,256.7,138.0,92.7,3.0,470.5,471.6,518.1,726.9,713.5,726.9,654.2,33790
dryad_foot,dryad_0035,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/018_fBW_R.ply,right,259.4,138.5,93.6,1.4,467.3,472.6,504.3,723.7,707.6,723.7,651.3,33210
dryad_foot,dryad_0036,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/018_mBW_R.ply,right,259.2,135.7,91.0,2.0,465.2,471.1,507.6,701.4,677.3,701.4,631.3,33546
dryad_foot,dryad_0038,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/019_mBW_R.ply,right,275.6,139.0,100.3,5.9,528.6,536.8,558.6,737.1,702.8,737.1,663.4,35301
dryad_foot,dryad_0040,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/020_mBW_R.ply,right,268.2,136.2,94.0,3.7,501.8,505.0,538.9,712.8,688.1,712.8,641.5,33998
dryad_foot,dryad_0041,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/022_fBW_R.ply,right,256.0,139.0,95.6,5.7,477.2,485.4,532.9,722.9,700.3,722.9,650.6,34354
dryad_foot,dryad_0042,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/022_mBW_R.ply,right,257.0,135.2,96.8,8.9,475.7,483.3,535.1,695.5,659.2,695.5,626.0,35113
dryad_foot,dryad_0044,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/023_mBW_R.ply,right,268.4,137.6,98.2,0.8,504.0,506.6,551.7,714.2,670.7,714.2,642.8,34951
dryad_foot,dryad_0045,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/024_fBW_R.ply,right,254.7,137.9,81.8,5.3,418.5,428.7,469.3,703.2,669.4,703.2,632.9,33738
dryad_foot,dryad_0046,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/024_mBW_R.ply,right,253.9,135.7,81.5,6.3,423.1,430.6,471.5,683.8,638.2,683.8,615.4,33668
dryad_foot,dryad_0047,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/025_fBW_R.ply,right,247.5,135.6,89.6,1.6,433.8,434.8,488.7,673.3,613.9,673.3,606.0,33852
dryad_foot,dryad_0048,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/025_mBW_R.ply,right,240.2,134.7,85.0,5.8,432.5,432.9,497.4,646.3,591.1,646.3,581.7,34258
dryad_foot,dryad_0050,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/026_mBW_R.ply,right,265.5,138.7,92.1,6.2,466.1,474.7,521.4,723.1,704.1,723.1,650.8,33949
dryad_foot,dryad_0051,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/027_fBW_R.ply,right,259.6,139.7,84.0,6.0,434.2,445.1,502.3,699.6,653.0,699.6,629.6,33979
dryad_foot,dryad_0052,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/027_mBW_R.ply,right,254.4,136.0,83.6,7.3,436.5,442.4,494.7,683.8,640.1,683.8,615.4,34170
dryad_foot,dryad_0054,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/028_mBW_Lr.ply,left,292.8,139.9,95.3,1.5,488.7,482.3,516.6,746.6,742.7,746.6,671.9,33279
dryad_foot,dryad_0056,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/029_mBW_R.ply,right,249.9,137.6,85.4,4.5,459.8,460.4,503.9,695.0,656.4,695.0,625.5,34884
dryad_foot,dryad_0057,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/031_fBW_R.ply,right,272.5,138.7,94.4,2.2,479.4,486.1,510.9,728.5,701.9,728.5,655.6,32151
dryad_foot,dryad_0058,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/031_mBW_R.ply,right,262.9,135.3,90.4,6.5,478.3,483.2,506.4,702.3,679.7,702.3,632.1,33454
dryad_foot,dryad_0060,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/032_mBW_R.ply,right,261.5,136.1,93.4,8.7,493.7,501.9,543.1,696.7,655.4,696.7,627.0,34527
dryad_foot,dryad_0061,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/033_fBW_R.ply,right,263.5,139.8,93.6,9.6,459.9,469.0,529.3,733.0,715.8,733.0,659.7,33153
dryad_foot,dryad_0062,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/033_mBW_R.ply,right,264.1,137.9,90.9,8.3,463.4,473.2,528.2,717.9,692.5,717.9,646.1,33994
dryad_foot,dryad_0063,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/034_fBW_R.ply,right,252.9,139.9,89.5,10.9,447.1,448.8,490.2,700.9,666.2,700.9,630.8,34189
dryad_foot,dryad_0064,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/034_mBW_R.ply,right,250.0,136.0,90.0,1.7,448.1,448.2,497.2,669.5,622.6,669.5,602.6,34414
dryad_foot,dryad_0065,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/035_fBW_R.ply,right,260.3,139.4,91.7,3.2,468.2,470.6,499.9,701.4,631.1,701.4,631.3,31178
dryad_foot,dryad_0066,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/035_mBW_R.ply,right,255.8,133.4,89.9,5.5,466.7,466.4,502.9,667.9,598.2,667.9,601.1,33747
dryad_foot,dryad_0067,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/036_fBW_R.ply,right,264.5,139.7,90.7,4.6,437.4,441.4,496.3,728.8,709.2,728.8,655.9,33118
dryad_foot,dryad_0068,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/036_mBW_R.ply,right,259.9,137.8,87.6,1.5,430.5,433.9,498.4,715.5,694.8,715.5,644.0,33676
dryad_foot,dryad_0070,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/037_mBW_R.ply,right,253.5,138.4,89.9,3.0,476.0,473.8,511.1,695.5,644.2,695.5,626.0,34883
dryad_foot,dryad_0071,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/038_fBW_R.ply,right,276.7,139.2,97.6,7.9,486.1,490.4,519.7,739.0,718.5,739.0,665.1,35986
dryad_foot,dryad_0072,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/038_mBW_R.ply,right,274.5,136.9,95.5,3.2,479.9,484.4,523.4,723.1,695.6,723.1,650.8,33422
dryad_foot,dryad_0076,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/040_mBW_R.ply,right,264.1,140.0,94.7,0.1,495.9,503.0,549.9,752.1,731.7,752.1,676.9,34565
dryad_foot,dryad_0078,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/041_mBW_R.ply,right,235.6,139.6,86.3,5.9,430.5,433.1,467.5,693.2,667.7,693.2,623.9,32459
dryad_foot,dryad_0079,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/042_fBW_R.ply,right,231.1,138.1,82.7,4.0,417.5,419.5,457.8,654.8,549.4,654.8,589.3,32946
dryad_foot,dryad_0080,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/042_mBW_R.ply,right,241.2,129.0,81.9,0.3,415.2,415.2,469.5,487.8,412.8,487.8,439.0,32568
dryad_foot,dryad_0082,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/043_mBW_R.ply,right,256.5,138.2,91.1,1.7,469.3,468.3,493.8,715.8,700.2,715.8,644.2,33741
dryad_foot,dryad_0083,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/044_fBW_R.ply,right,256.5,138.8,96.7,2.4,497.5,504.5,528.6,731.0,713.6,731.0,657.9,33610
